id,clipid,cliptitle,clipurl,clipviews,clipimg,clippostdate,created_at,updated_at
1,AMQhZIgcpcc,私生活がけっこう陽キャでコミュ強な桃鈴ねね【ほろふぁいぶ/ホロライブ5期生/切り抜き】,https://www.youtube.com/watch?v=AMQhZIgcpcc,37093,http://img.youtube.com/vi/AMQhZIgcpcc/hqdefault.jpg,2020-09-14 8:03:11,2021-06-12 12:00:00,2021-06-12 12:00:00
2,FisXK0Q45m8,【桃鈴ねね】はあちゃま×ねねちコラボ　ポンコツリバーシ対決【赤井はあと】【切り抜き】【ホロライブ】,https://www.youtube.com/watch?v=FisXK0Q45m8,36860,http://img.youtube.com/vi/FisXK0Q45m8/hqdefault.jpg,2020-09-29 10:15:01,2021-06-12 12:00:00,2021-06-12 12:00:00
3,oVNvEPqtSb0,【ホロライブ切り抜き】【日本語訳】ねねオリ戦争　食い物の恨みは恐ろしい【桃鈴ねね/Ollie/hololive】【マイクラ/Minecraft】,https://www.youtube.com/watch?v=oVNvEPqtSb0,36453,http://img.youtube.com/vi/oVNvEPqtSb0/hqdefault.jpg,2021-01-24 2:02:47,2021-06-12 12:00:00,2021-06-12 12:00:00
4,-r0TtDd3V78,西沢5㍉ママから明かされる、ねねちも知らなかった衝撃の秘密【ホロライブ/桃鈴ねね/切り抜き】,https://www.youtube.com/watch?v=-r0TtDd3V78,36331,http://img.youtube.com/vi/-r0TtDd3V78/hqdefault.jpg,2021-04-12 13:36:36,2021-06-12 12:00:00,2021-06-12 12:00:00
5,H7qPqRYIlBs,有識者とプロレスするねねちが面白い【桃鈴ねね/ホロライブ切り抜き】,https://www.youtube.com/watch?v=H7qPqRYIlBs,36032,http://img.youtube.com/vi/H7qPqRYIlBs/hqdefault.jpg,2021-04-04 9:00:05,2021-06-12 12:00:00,2021-06-12 12:00:00
6,HbvaO2mCfh8,【桃鈴ねね/ホロライブ切り抜き】自分が言ったお下品な発言をトワ様のせいにした後お下品な話で盛り上がるねねち,https://www.youtube.com/watch?v=HbvaO2mCfh8,35785,http://img.youtube.com/vi/HbvaO2mCfh8/hqdefault.jpg,2021-02-24 14:13:57,2021-06-12 12:00:00,2021-06-12 12:00:00
7,wwATd7llVQM,スバルとねねちの打ち間違いやり取りが面白いｗ【ホロライブ切り抜き/大空スバル/桃鈴ねね】,https://www.youtube.com/watch?v=wwATd7llVQM,35596,http://img.youtube.com/vi/wwATd7llVQM/hqdefault.jpg,2021-02-04 7:57:15,2021-06-12 12:00:00,2021-06-12 12:00:00
8,cj0B_C4LRdc,【にじホロあもあす】監視カメラを使いこなす桃鈴ねね (複数視点ごちゃまぜ)【桃鈴ねね、Anya melfissa】【切り抜き】,https://www.youtube.com/watch?v=cj0B_C4LRdc,35181,http://img.youtube.com/vi/cj0B_C4LRdc/hqdefault.jpg,2021-02-04 20:00:15,2021-06-12 12:00:00,2021-06-12 12:00:00
9,eCxQFofikao,【桃鈴ねね/雪花ラミィ】ねねのスーパーリフォーム！！！【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=eCxQFofikao,34569,http://img.youtube.com/vi/eCxQFofikao/hqdefault.jpg,2020-12-04 10:00:29,2021-06-12 12:00:00,2021-06-12 12:00:00
10,OcgDwRpc91U,えぇ・・・【ホロライブ 切り抜き】【桃鈴ねね】【雪花ラミィ】,https://www.youtube.com/watch?v=OcgDwRpc91U,34548,http://img.youtube.com/vi/OcgDwRpc91U/hqdefault.jpg,2020-12-27 21:02:15,2021-06-12 12:00:00,2021-06-12 12:00:00
11,SniU6q4X4Qs,【桃鈴ねね】ランクマの姫プ、クソガキムーブ全開「オラ！みんなで敵に突っ込むぞ！」わちゃわちゃAPEX【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=SniU6q4X4Qs,34298,http://img.youtube.com/vi/SniU6q4X4Qs/hqdefault.jpg,2021-02-28 19:40:59,2021-06-12 12:00:00,2021-06-12 12:00:00
12,AU2hrlfee1o,【6/8】ホロライブの昨日の見所まとめてみました【獅白ぼたん・星街すいせい・潤羽るしあ・宝鐘マリン・大空スバル・ときのそら・湊あくあ・常闇トワ・兎田ぺこら・白銀ノエル・桃鈴ねね/ホロライブ切り抜き】,https://www.youtube.com/watch?v=AU2hrlfee1o,35035,http://img.youtube.com/vi/AU2hrlfee1o/hqdefault.jpg,2021-06-08 22:30:00,2021-06-12 12:00:00,2021-06-12 12:00:00
13,LgHqji2apog,クリアファイルゲット出来ましたか？【桃鈴ねね】【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=LgHqji2apog,34297,http://img.youtube.com/vi/LgHqji2apog/hqdefault.jpg,2021-05-13 11:00:08,2021-06-12 12:00:00,2021-06-12 12:00:00
14,6Ou-klpbqIw,【桃鈴ねね】つぐのひ悲鳴まとめ「ねねホラゲ得意だわｗ」【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=6Ou-klpbqIw,34216,http://img.youtube.com/vi/6Ou-klpbqIw/hqdefault.jpg,2021-02-26 18:27:26,2021-06-12 12:00:00,2021-06-12 12:00:00
15,jZQW95zRti0,【桃鈴ねね】性癖を公開する桃鈴ねね【切り抜き】,https://www.youtube.com/watch?v=jZQW95zRti0,34124,http://img.youtube.com/vi/jZQW95zRti0/hqdefault.jpg,2020-09-05 23:30:00,2021-06-12 12:00:00,2021-06-12 12:00:00
16,eIMDmjySJ4w,【桃鈴ねね】やっぱりフレアとのマイクラコラボは出来なさそうな桃鈴ねね【切り抜き】,https://www.youtube.com/watch?v=eIMDmjySJ4w,33681,http://img.youtube.com/vi/eIMDmjySJ4w/hqdefault.jpg,2020-10-09 15:42:28,2021-06-12 12:00:00,2021-06-12 12:00:00
17,mL7TMETH3QE,リングフィットしてもセンシティブにならない元気っ子【桃鈴ねね】,https://www.youtube.com/watch?v=mL7TMETH3QE,33553,http://img.youtube.com/vi/mL7TMETH3QE/hqdefault.jpg,2020-10-05 21:17:00,2021-06-12 12:00:00,2021-06-12 12:00:00
18,QoOEhDhtak8,【桃鈴ねね/獅白ぼたん】ししろんのマリオカートを同時実況するねねが可愛すぎる【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=QoOEhDhtak8,33450,http://img.youtube.com/vi/QoOEhDhtak8/hqdefault.jpg,2021-01-12 10:00:05,2021-06-12 12:00:00,2021-06-12 12:00:00
19,CR2C4V7a5bU,【桃鈴ねね/癒月ちょこ】100点取ると豪語するねねプロ社長の学力テスト【ホロライブ切り抜き】,https://www.youtube.com/watch?v=CR2C4V7a5bU,33695,http://img.youtube.com/vi/CR2C4V7a5bU/hqdefault.jpg,2020-09-30 17:42:10,2021-06-12 12:00:00,2021-06-12 12:00:00
20,XBTTgsof6lI,【6/3】ホロライブの昨日の見所まとめてみました【天音かなた・桐生ココ・大空スバル・さくらみこ・桃鈴ねね・白銀ノエル・兎田ぺこら・赤井はあと・夏色まつり・潤羽るしあ・桐生ココ/ホロライブ切り抜き】,https://www.youtube.com/watch?v=XBTTgsof6lI,33539,http://img.youtube.com/vi/XBTTgsof6lI/hqdefault.jpg,2021-06-03 22:01:38,2021-06-12 12:00:00,2021-06-12 12:00:00
21,DfXEhhMj0UU,新しいハンター×ハンターネタを仕入れたねねち！【桃鈴ねね】【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=DfXEhhMj0UU,32324,http://img.youtube.com/vi/DfXEhhMj0UU/hqdefault.jpg,2021-02-11 15:00:03,2021-06-12 12:00:00,2021-06-12 12:00:00
22,7qSlKMGAo2E,【若いギャル】ダンスレッスンで若いギャルに虐められた桃鈴ねね「やだぁあのボサボサ頭ｗって言われた…」【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=7qSlKMGAo2E,32000,http://img.youtube.com/vi/7qSlKMGAo2E/hqdefault.jpg,2021-06-07 11:46:08,2021-06-12 12:00:00,2021-06-12 12:00:00
23,GfmYfoH9A2E,"【アニソン(ハルヒ)】ねねちゃんの""God knows..."" がカッコよすぎぃ!!歌中に20万人を突破おめでたい!!【桃鈴ねね × 平野綾】",https://www.youtube.com/watch?v=GfmYfoH9A2E,32181,http://img.youtube.com/vi/GfmYfoH9A2E/hqdefault.jpg,2020-09-12 0:36:49,2021-06-12 12:00:00,2021-06-12 12:00:00
24,OaYZfkinZVM,【雪花ラミィ 桃鈴ねね】ラミィおじさんとねねワンのHuman Fall Flatまとめ【ホロライブ切り抜き】,https://www.youtube.com/watch?v=OaYZfkinZVM,31831,http://img.youtube.com/vi/OaYZfkinZVM/hqdefault.jpg,2020-11-20 3:58:01,2021-06-12 12:00:00,2021-06-12 12:00:00
25,zX1mE6gqb2E,偏食の桃鈴ねねにサラダを押し付けられる雪花ラミィ【ホロライブ切り抜き】,https://www.youtube.com/watch?v=zX1mE6gqb2E,31566,http://img.youtube.com/vi/zX1mE6gqb2E/hqdefault.jpg,2021-01-21 10:57:16,2021-06-12 12:00:00,2021-06-12 12:00:00
26,W2BevGBmZwA,桃鈴ねねが教える「アイドルがする事しない事」【ほろふぁいぶ/ホロライブ5期生/切り抜き】,https://www.youtube.com/watch?v=W2BevGBmZwA,31150,http://img.youtube.com/vi/W2BevGBmZwA/hqdefault.jpg,2020-12-21 6:50:09,2021-06-12 12:00:00,2021-06-12 12:00:00
27,61TWrlucUCg,ねねにエロのお手本をみせるトワ様【桃鈴ねね/常闇トワ】【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=61TWrlucUCg,31175,http://img.youtube.com/vi/61TWrlucUCg/hqdefault.jpg,2021-04-23 14:00:03,2021-06-12 12:00:00,2021-06-12 12:00:00
28,u-nnF-UYPTY,"【おっぺぇ】ねねちが紹介する""育乳マッサージ""に興味津々のかなたんはボインボイン【天音かなた/桃鈴ねね/ホロライブ 切り抜き】",https://www.youtube.com/watch?v=u-nnF-UYPTY,30596,http://img.youtube.com/vi/u-nnF-UYPTY/hqdefault.jpg,2021-04-12 9:01:00,2021-06-12 12:00:00,2021-06-12 12:00:00
29,gb0us40om_U,ねねちの悲惨すぎる台所事情【桃鈴ねね 切り抜き】,https://www.youtube.com/watch?v=gb0us40om_U,30557,http://img.youtube.com/vi/gb0us40om_U/hqdefault.jpg,2021-02-12 1:00:06,2021-06-12 12:00:00,2021-06-12 12:00:00
30,Yd9fojhpQyU,ねねの初夢に出てくる５期生の話が面白すぎる！【桃鈴ねね】【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=Yd9fojhpQyU,30349,http://img.youtube.com/vi/Yd9fojhpQyU/hqdefault.jpg,2021-01-17 10:00:20,2021-06-12 12:00:00,2021-06-12 12:00:00
31,3heIAAhbrPc,ついに発表することが出来た【ねね3D】に感極まり、そこから歌ったコネクトがあまりにもエモすぎた【桃鈴ねね】【ホロライブ/切り抜き】,https://www.youtube.com/watch?v=3heIAAhbrPc,30833,http://img.youtube.com/vi/3heIAAhbrPc/hqdefault.jpg,2021-04-13 13:40:10,2021-06-12 12:00:00,2021-06-12 12:00:00
32,uR8McCM3cas,【桃鈴ねね、雪花ラミィ】徐々に本性を見せ始める桃鈴ねね 前編【切り抜き】,https://www.youtube.com/watch?v=uR8McCM3cas,30120,http://img.youtube.com/vi/uR8McCM3cas/hqdefault.jpg,2020-09-23 10:32:14,2021-06-12 12:00:00,2021-06-12 12:00:00
33,uWq_ICAzywI,【桃鈴ねね】ショートアニメ-ねっ子2個目-CV 桃鈴ねね【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=uWq_ICAzywI,29961,http://img.youtube.com/vi/uWq_ICAzywI/hqdefault.jpg,2021-01-28 14:23:18,2021-06-12 12:00:00,2021-06-12 12:00:00
34,tZro9f2m8Ik,【桃鈴ねね】ブチギレたら台パンして圧をかけることを覚えた桃鈴ねね【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=tZro9f2m8Ik,29549,http://img.youtube.com/vi/tZro9f2m8Ik/hqdefault.jpg,2020-12-09 10:00:15,2021-06-12 12:00:00,2021-06-12 12:00:00
35,wXusL2cKLL0,【桃鈴ねね】雪花ラミィにセンシティブな声をお願いするタオリン【ホロライブ5期生切り抜き】,https://www.youtube.com/watch?v=wXusL2cKLL0,29445,http://img.youtube.com/vi/wXusL2cKLL0/hqdefault.jpg,2020-08-14 9:30:08,2021-06-12 12:00:00,2021-06-12 12:00:00
36,wetgW2GCUZQ,桃鈴ねねの3Dお披露目まとめ【ホロライブ】,https://www.youtube.com/watch?v=wetgW2GCUZQ,29424,http://img.youtube.com/vi/wetgW2GCUZQ/hqdefault.jpg,2021-04-18 23:00:10,2021-06-12 12:00:00,2021-06-12 12:00:00
37,c9_S-Jkt4Yw,【桃鈴ねね】深い闇が感じられる桃鈴ねね【切り抜き】,https://www.youtube.com/watch?v=c9_S-Jkt4Yw,29212,http://img.youtube.com/vi/c9_S-Jkt4Yw/hqdefault.jpg,2020-09-03 12:00:28,2021-06-12 12:00:00,2021-06-12 12:00:00
38,JjK2U9w-o6k,【雪花ラミィ】桃鈴ねねのだぼだぼパンツに警鐘を鳴らすパンツ杞憂民の雪花ラミィ【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=JjK2U9w-o6k,29056,http://img.youtube.com/vi/JjK2U9w-o6k/hqdefault.jpg,2021-04-25 0:54:13,2021-06-12 12:00:00,2021-06-12 12:00:00
39,rnqWK2Ik8RM,やっぱりトワ様のコメントがＴＭＴ過ぎる！！！！！【桃鈴ねね/常闇トワ】【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=rnqWK2Ik8RM,29205,http://img.youtube.com/vi/rnqWK2Ik8RM/hqdefault.jpg,2021-05-10 9:00:28,2021-06-12 12:00:00,2021-06-12 12:00:00
40,tnH0kKd44Mw,先輩について語る桃鈴ねね【ホロライブ】(hololive 切り抜き 雑談 赤井はあと 夜空メル 宝鐘マリン   五期生 雪花ラミィ),https://www.youtube.com/watch?v=tnH0kKd44Mw,28984,http://img.youtube.com/vi/tnH0kKd44Mw/hqdefault.jpg,2020-08-18 11:51:27,2021-06-12 12:00:00,2021-06-12 12:00:00
41,q0MReUrUF_o,自身が出演するゲームのオーディションの裏話をするねねち【桃鈴ねね/ホロライブ/切り抜き/メンヘラフレシア フラワリングアビス】,https://www.youtube.com/watch?v=q0MReUrUF_o,29324,http://img.youtube.com/vi/q0MReUrUF_o/hqdefault.jpg,2021-06-05 18:38:04,2021-06-12 12:00:00,2021-06-12 12:00:00
42,XszJ2KXUQsc,【桃鈴ねね】胸元センシティブだからねっ子で隠して「おいおい、おっぱいがセンシティブだと誰が決めた！」【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=XszJ2KXUQsc,28565,http://img.youtube.com/vi/XszJ2KXUQsc/hqdefault.jpg,2021-02-01 23:54:15,2021-06-12 12:00:00,2021-06-12 12:00:00
43,ZgDb0KRRU-M,いい場面でねねちのどうでもいいディスコが来て雰囲気がぶち壊されるラミィ【雪花ラミィ/桃鈴ねね/ホロライブ/切り抜き】,https://www.youtube.com/watch?v=ZgDb0KRRU-M,28512,http://img.youtube.com/vi/ZgDb0KRRU-M/hqdefault.jpg,2021-04-25 22:38:06,2021-06-12 12:00:00,2021-06-12 12:00:00
44,ZpqczvgFMUw,【鬼灯わらべ】いつの間にか「ねねち」って呼ぶ仲になったわらべちゃんとねね【桃鈴ねね】【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=ZpqczvgFMUw,28541,http://img.youtube.com/vi/ZpqczvgFMUw/hqdefault.jpg,2021-06-01 21:00:09,2021-06-12 12:00:00,2021-06-12 12:00:00
45,-xd2Fs3V4lE,大人より大人、自称“大大人”の桃鈴先生【桃鈴ねね/切り抜き】,https://www.youtube.com/watch?v=-xd2Fs3V4lE,27764,http://img.youtube.com/vi/-xd2Fs3V4lE/hqdefault.jpg,2021-04-04 10:16:18,2021-06-12 12:00:00,2021-06-12 12:00:00
46,GvKFwu7aM2c,ねねちとのイチャコラちゅっちゅでガチ照れするリスin魔王城【ホロライブID切り抜き/アユンダ・リス/桃鈴ねね/日本語翻訳】,https://www.youtube.com/watch?v=GvKFwu7aM2c,27496,http://img.youtube.com/vi/GvKFwu7aM2c/hqdefault.jpg,2021-03-05 10:39:26,2021-06-12 12:00:00,2021-06-12 12:00:00
47,ctX7eKXcPqg,【桃鈴ねね】桃鈴ねねには夢がある【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=ctX7eKXcPqg,26986,http://img.youtube.com/vi/ctX7eKXcPqg/hqdefault.jpg,2020-11-27 10:00:11,2021-06-12 12:00:00,2021-06-12 12:00:00
48,fsqPU0L5ur0,冗談のつもりが突然スパチャ祭りが始まってしまって困惑するねねち【桃鈴ねね】【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=fsqPU0L5ur0,27664,http://img.youtube.com/vi/fsqPU0L5ur0/hqdefault.jpg,2021-05-12 11:00:12,2021-06-12 12:00:00,2021-06-12 12:00:00
49,B6Ldt77Z9Fc,メサ直通のねねロードを頑張って作るもエリトラに敗北して泣くねねち【マイクラ/ホロライブ5期生/切り抜き/桃鈴ねね】,https://www.youtube.com/watch?v=B6Ldt77Z9Fc,27126,http://img.youtube.com/vi/B6Ldt77Z9Fc/hqdefault.jpg,2021-05-21 0:07:06,2021-06-12 12:00:00,2021-06-12 12:00:00
50,WZinP_u0Whw,【ホロライブ切り抜き】ねねちの脱毛事情の暴露にブチギレるラミィ【桃鈴ねね/雪花ラミィ】,https://www.youtube.com/watch?v=WZinP_u0Whw,26338,http://img.youtube.com/vi/WZinP_u0Whw/hqdefault.jpg,2021-06-08 21:02:56,2021-06-12 12:00:00,2021-06-12 12:00:00
51,_Kcw0qkHqyg,西沢5㍉ママから明かされる、ねねちも知らなかった衝撃の秘密【ホロライブ/桃鈴ねね/切り抜き】,https://www.youtube.com/watch?v=-r0TtDd3V78,36331,http://img.youtube.com/vi/-r0TtDd3V78/hqdefault.jpg,2021-04-12 13:36:36,2021-06-12 12:00:00,2021-06-12 12:00:00
52,wYuUu0W4x4A,【雪花ラミィ/桃鈴ねね】難解なパズルにパンク寸前「えぇ？ん？え？くぁwせdrftgyふじこlp」【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=_Kcw0qkHqyg,18088,http://img.youtube.com/vi/_Kcw0qkHqyg/hqdefault.jpg,2021-04-12 10:31:03,2021-06-12 12:00:00,2021-06-12 12:00:00
53,lTqDidTsPKY,桃鈴ねね、まさかの｢左右｣に大苦戦【雪花ラミィ/ホロライブ/切り抜き/5期生】,https://www.youtube.com/watch?v=wYuUu0W4x4A,1458,http://img.youtube.com/vi/wYuUu0W4x4A/hqdefault.jpg,2021-04-12 10:13:35,2021-06-12 12:00:00,2021-06-12 12:00:00
54,lRVf-3B2On8,"【おっぺぇ】ねねちが紹介する""育乳マッサージ""に興味津々のかなたんはボインボイン【天音かなた/桃鈴ねね/ホロライブ 切り抜き】",https://www.youtube.com/watch?v=u-nnF-UYPTY,30596,http://img.youtube.com/vi/u-nnF-UYPTY/hqdefault.jpg,2021-04-12 9:01:00,2021-06-12 12:00:00,2021-06-12 12:00:00
55,M7n8AhxHc1E,ねねガチャのラッキーアイテムw【ホロライブ切り抜き/桃鈴ねね】,https://www.youtube.com/watch?v=lTqDidTsPKY,3332,http://img.youtube.com/vi/lTqDidTsPKY/hqdefault.jpg,2021-04-11 11:40:30,2021-06-12 12:00:00,2021-06-12 12:00:00
56,3-bwmmk0gUc,【モンハン】ねねちの音声入力式モンハンが新感覚すぎる！【桃鈴ねね】【切り抜き/ホロライブ/MHR】,https://www.youtube.com/watch?v=lRVf-3B2On8,8497,http://img.youtube.com/vi/lRVf-3B2On8/hqdefault.jpg,2021-04-10 12:00:32,2021-06-12 12:00:00,2021-06-12 12:00:00
57,ogAR6apH2Q0,【桃鈴ねね】事案発生厄介ねねおじ「俺がハントしてやるからさ☆」【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=M7n8AhxHc1E,18145,http://img.youtube.com/vi/M7n8AhxHc1E/hqdefault.jpg,2021-04-10 7:41:46,2021-06-12 12:00:00,2021-06-12 12:00:00
58,eElnRbFCvZ4,【桃鈴ねね】漢字よわよわなねねち、読めない１つの原因がMHR中に明らかになる【ホロライブ切り抜き】,https://www.youtube.com/watch?v=3-bwmmk0gUc,8907,http://img.youtube.com/vi/3-bwmmk0gUc/hqdefault.jpg,2021-04-08 12:20:27,2021-06-12 12:00:00,2021-06-12 12:00:00
59,kVWcVl3B-eg,【モンハン】よもぎちゃんが可愛すぎてねねおじ化してしまうねねち【桃鈴ねね】【切り抜き/ホロライブ/MHR】,https://www.youtube.com/watch?v=ogAR6apH2Q0,2534,http://img.youtube.com/vi/ogAR6apH2Q0/hqdefault.jpg,2021-04-08 11:00:15,2021-06-12 12:00:00,2021-06-12 12:00:00
60,Ybfc9byJgZM,【桃鈴ねね】が自キャラの笑いにツボり初めてつられ笑いしてるところ見てるだけで笑える幸せ動画,https://www.youtube.com/watch?v=eElnRbFCvZ4,39466,http://img.youtube.com/vi/eElnRbFCvZ4/hqdefault.jpg,2021-04-08 2:00:03,2021-06-12 12:00:00,2021-06-12 12:00:00
61,b0ZzdKkpw-g,【ホロライブ切り抜き】ステーキ&グリルBOTAN（仮）を見た反応まとめ【兎田ぺこら/角巻わため/桃鈴ねね/獅白ぼたん/hololive】,https://www.youtube.com/watch?v=kVWcVl3B-eg,105096,http://img.youtube.com/vi/kVWcVl3B-eg/hqdefault.jpg,2021-04-07 15:24:42,2021-06-12 12:00:00,2021-06-12 12:00:00
62,n_gZxPH-CR4,天才【桃鈴ねね】のモンハンで学ぶ漢字講座【ホロライブ/切り抜き】,https://www.youtube.com/watch?v=Ybfc9byJgZM,17790,http://img.youtube.com/vi/Ybfc9byJgZM/hqdefault.jpg,2021-04-06 21:30:03,2021-06-12 12:00:00,2021-06-12 12:00:00
63,MHBjkWBYzro,誕生日プレゼントも買えなかったねねちが、みんなのおかげで親孝行できた話【桃鈴ねね】【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=b0ZzdKkpw-g,8784,http://img.youtube.com/vi/b0ZzdKkpw-g/hqdefault.jpg,2021-04-06 11:00:25,2021-06-12 12:00:00,2021-06-12 12:00:00
64,WJpTww1Hjgw,【MHR】難読漢字VSスーパーねねち【桃鈴ねね/ホロライブ切り抜き】,https://www.youtube.com/watch?v=n_gZxPH-CR4,197564,http://img.youtube.com/vi/n_gZxPH-CR4/hqdefault.jpg,2021-04-05 22:00:27,2021-06-12 12:00:00,2021-06-12 12:00:00
65,cMiDfm_ro2A,《ホロライブ》桃鈴ねね目覚ましボイス【ホロライブ切り抜き/桃鈴ねね】,https://www.youtube.com/watch?v=MHBjkWBYzro,155,http://img.youtube.com/vi/MHBjkWBYzro/hqdefault.jpg,2021-04-05 11:16:04,2021-06-12 12:00:00,2021-06-12 12:00:00
