id,musicid,musictitle,musicauthor,musicurl,musicimg,created_at,updated_at
1,y_FzaF9_lyo,Lunch with me,桃鈴ねね,https://www.youtube.com/watch?v=y_FzaF9_lyo&t=44360.5s,http://img.youtube.com/vi/y_FzaF9_lyo/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
2,y_FzaF9_lyo,愛を込めて花束を,Superfly,https://www.youtube.com/watch?v=y_FzaF9_lyo&t=44360.5s,http://img.youtube.com/vi/y_FzaF9_lyo/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
3,y_FzaF9_lyo,daze,じん ft.メイリア from GARNiDELiA,https://www.youtube.com/watch?v=y_FzaF9_lyo&t=44360.5s,http://img.youtube.com/vi/y_FzaF9_lyo/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
4,y_FzaF9_lyo,Rising Hope,LiSA,https://www.youtube.com/watch?v=y_FzaF9_lyo&t=44360.5s,http://img.youtube.com/vi/y_FzaF9_lyo/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
5,y_FzaF9_lyo,打上花火,DAOKO × 米津玄師,https://www.youtube.com/watch?v=y_FzaF9_lyo&t=44360.5s,http://img.youtube.com/vi/y_FzaF9_lyo/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
6,y_FzaF9_lyo,脱げばいいってモンじゃない！,デッドボールP feat. 初音ミク,https://www.youtube.com/watch?v=y_FzaF9_lyo&t=44360.5s,http://img.youtube.com/vi/y_FzaF9_lyo/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
7,y_FzaF9_lyo,アイロニ,スコップ,https://www.youtube.com/watch?v=y_FzaF9_lyo&t=44360.5s,http://img.youtube.com/vi/y_FzaF9_lyo/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
8,y_FzaF9_lyo,ケロッ!とマーチ,ケロロ軍曹,https://www.youtube.com/watch?v=y_FzaF9_lyo&t=44360.5s,http://img.youtube.com/vi/y_FzaF9_lyo/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
9,y_FzaF9_lyo,ファンサ,mona(CV：夏川椎菜)　HoneyWorks,https://www.youtube.com/watch?v=y_FzaF9_lyo&t=44360.5s,http://img.youtube.com/vi/y_FzaF9_lyo/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
10,y_FzaF9_lyo,サイレントマジョリティー,欅坂46,https://www.youtube.com/watch?v=y_FzaF9_lyo&t=44360.5s,http://img.youtube.com/vi/y_FzaF9_lyo/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
11,y_FzaF9_lyo,シュガーソングとビターステップ,UNISON SQUARE GARDEN,https://www.youtube.com/watch?v=y_FzaF9_lyo&t=44360.5s,http://img.youtube.com/vi/y_FzaF9_lyo/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
12,y_FzaF9_lyo,イェイイェイイェイ,古田仁美,https://www.youtube.com/watch?v=y_FzaF9_lyo&t=44360.5s,http://img.youtube.com/vi/y_FzaF9_lyo/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
13,y_FzaF9_lyo,ultra soul,B'z,https://www.youtube.com/watch?v=y_FzaF9_lyo&t=44360.5s,http://img.youtube.com/vi/y_FzaF9_lyo/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
14,y_FzaF9_lyo,DANZEN！ふたりはプリキュア Ver.MaxHeart,五條真由美,https://www.youtube.com/watch?v=y_FzaF9_lyo&t=44360.5s,http://img.youtube.com/vi/y_FzaF9_lyo/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
15,y_FzaF9_lyo,キューティーハニー,倖田來未,https://www.youtube.com/watch?v=y_FzaF9_lyo&t=44360.5s,http://img.youtube.com/vi/y_FzaF9_lyo/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
16,y_FzaF9_lyo,至上主義アドトラック,夏色まつり・大神ミオ・不知火フレア,https://www.youtube.com/watch?v=y_FzaF9_lyo&t=44360.5s,http://img.youtube.com/vi/y_FzaF9_lyo/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
17,y_FzaF9_lyo,ねねねねねねねね！大爆走,桃鈴ねね,https://www.youtube.com/watch?v=y_FzaF9_lyo&t=44360.5s,http://img.youtube.com/vi/y_FzaF9_lyo/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
18,g6Fvi2w-taU,コネクト,ClariS,https://www.youtube.com/watch?v=g6Fvi2w-taU&t=44360.5s,http://img.youtube.com/vi/g6Fvi2w-taU/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
19,g6Fvi2w-taU,Get Myself Back,安室奈美恵,https://www.youtube.com/watch?v=g6Fvi2w-taU&t=44360.5s,http://img.youtube.com/vi/g6Fvi2w-taU/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
20,g6Fvi2w-taU,めざせポケモンマスター,松本梨香,https://www.youtube.com/watch?v=g6Fvi2w-taU&t=44360.5s,http://img.youtube.com/vi/g6Fvi2w-taU/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
21,g6Fvi2w-taU,だんご3兄弟,神谷 明・井上 かおり,https://www.youtube.com/watch?v=g6Fvi2w-taU&t=44360.5s,http://img.youtube.com/vi/g6Fvi2w-taU/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
22,g6Fvi2w-taU,ドラえもんのうた,山野さと子,https://www.youtube.com/watch?v=g6Fvi2w-taU&t=44360.5s,http://img.youtube.com/vi/g6Fvi2w-taU/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
23,g6Fvi2w-taU,"Don't say ""lazy""",桜高軽音部,https://www.youtube.com/watch?v=g6Fvi2w-taU&t=44360.5s,http://img.youtube.com/vi/g6Fvi2w-taU/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
24,g6Fvi2w-taU,七転八起☆至上主義!,KOTOKO,https://www.youtube.com/watch?v=g6Fvi2w-taU&t=44360.5s,http://img.youtube.com/vi/g6Fvi2w-taU/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
25,g6Fvi2w-taU,ピースサイン,米津玄師,https://www.youtube.com/watch?v=g6Fvi2w-taU&t=44360.5s,http://img.youtube.com/vi/g6Fvi2w-taU/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
26,g6Fvi2w-taU,君の知らない物語,supercell,https://www.youtube.com/watch?v=g6Fvi2w-taU&t=44360.5s,http://img.youtube.com/vi/g6Fvi2w-taU/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
27,g6Fvi2w-taU,ねねねねねねねね！大爆走,桃鈴ねね,https://www.youtube.com/watch?v=g6Fvi2w-taU&t=44360.5s,http://img.youtube.com/vi/g6Fvi2w-taU/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
28,QQajf_s4HjA,ねねねねねねねね！大爆走,桃鈴ねね,https://www.youtube.com/watch?v=QQajf_s4HjA&t=44360.5s,http://img.youtube.com/vi/QQajf_s4HjA/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
29,QQajf_s4HjA,春擬き,やなぎなぎ,https://www.youtube.com/watch?v=QQajf_s4HjA&t=44360.5s,http://img.youtube.com/vi/QQajf_s4HjA/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
30,QQajf_s4HjA,空色デイズ,中川翔子,https://www.youtube.com/watch?v=QQajf_s4HjA&t=44360.5s,http://img.youtube.com/vi/QQajf_s4HjA/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
31,QQajf_s4HjA,God knows...,涼宮ハルヒ(CV:平野綾),https://www.youtube.com/watch?v=QQajf_s4HjA&t=44360.5s,http://img.youtube.com/vi/QQajf_s4HjA/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
32,QQajf_s4HjA,Rally Go Round,LiSA,https://www.youtube.com/watch?v=QQajf_s4HjA&t=44360.5s,http://img.youtube.com/vi/QQajf_s4HjA/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
33,QQajf_s4HjA,なんでもないや,RADWIMPS,https://www.youtube.com/watch?v=QQajf_s4HjA&t=44360.5s,http://img.youtube.com/vi/QQajf_s4HjA/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
34,QQajf_s4HjA,スパークル,RADWIMPS,https://www.youtube.com/watch?v=QQajf_s4HjA&t=44360.5s,http://img.youtube.com/vi/QQajf_s4HjA/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
35,QQajf_s4HjA,コネクト,ClariS,https://www.youtube.com/watch?v=QQajf_s4HjA&t=44360.5s,http://img.youtube.com/vi/QQajf_s4HjA/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
36,QMRZXPRzKb0,DANZEN！ふたりはプリキュア Ver.MaxHeart,五條真由美,https://www.youtube.com/watch?v=QMRZXPRzKb0&t=44360.5s,http://img.youtube.com/vi/QMRZXPRzKb0/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
37,QMRZXPRzKb0,千本桜,黒うさＰfeat初音ミク,https://www.youtube.com/watch?v=QMRZXPRzKb0&t=44360.5s,http://img.youtube.com/vi/QMRZXPRzKb0/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
38,QMRZXPRzKb0,夜に駆ける,YOASOBI,https://www.youtube.com/watch?v=QMRZXPRzKb0&t=44360.5s,http://img.youtube.com/vi/QMRZXPRzKb0/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
39,QMRZXPRzKb0,ひまわりの約束,秦 基博,https://www.youtube.com/watch?v=QMRZXPRzKb0&t=44360.5s,http://img.youtube.com/vi/QMRZXPRzKb0/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
40,QMRZXPRzKb0,天体観測,BUMP OF CHICKEN,https://www.youtube.com/watch?v=QMRZXPRzKb0&t=44360.5s,http://img.youtube.com/vi/QMRZXPRzKb0/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
41,QMRZXPRzKb0,マトリョシカ,ハチ.feat初音ミク GUMI,https://www.youtube.com/watch?v=QMRZXPRzKb0&t=44360.5s,http://img.youtube.com/vi/QMRZXPRzKb0/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
42,QMRZXPRzKb0,うたかた花火,supercell,https://www.youtube.com/watch?v=QMRZXPRzKb0&t=44360.5s,http://img.youtube.com/vi/QMRZXPRzKb0/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
43,QMRZXPRzKb0,ぴゅあぴゅあはーと,放課後ティータイム,https://www.youtube.com/watch?v=QMRZXPRzKb0&t=44360.5s,http://img.youtube.com/vi/QMRZXPRzKb0/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
44,QMRZXPRzKb0,ハナミズキ,一青窈,https://www.youtube.com/watch?v=QMRZXPRzKb0&t=44360.5s,http://img.youtube.com/vi/QMRZXPRzKb0/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
45,QMRZXPRzKb0,恋色に咲け,CHiCO with HoneyWorks,https://www.youtube.com/watch?v=QMRZXPRzKb0&t=44360.5s,http://img.youtube.com/vi/QMRZXPRzKb0/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
46,QMRZXPRzKb0,初音ミクの暴走,cosMo＠暴走P feat初音ミク,https://www.youtube.com/watch?v=QMRZXPRzKb0&t=44360.5s,http://img.youtube.com/vi/QMRZXPRzKb0/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
47,QMRZXPRzKb0,ヤッターマンの歌,山本　正之／少年少女合唱団みずうみ,https://www.youtube.com/watch?v=QMRZXPRzKb0&t=44360.5s,http://img.youtube.com/vi/QMRZXPRzKb0/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
48,QMRZXPRzKb0,前前前世,RADWIMPS,https://www.youtube.com/watch?v=QMRZXPRzKb0&t=44360.5s,http://img.youtube.com/vi/QMRZXPRzKb0/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
49,QMRZXPRzKb0,スパークル,RADWIMPS,https://www.youtube.com/watch?v=QMRZXPRzKb0&t=44360.5s,http://img.youtube.com/vi/QMRZXPRzKb0/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
50,wVnE6T0E3yg,again,YUI,https://www.youtube.com/watch?v=wVnE6T0E3yg&t=44360.5s,http://img.youtube.com/vi/wVnE6T0E3yg/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
51,wVnE6T0E3yg,Chu Bura,Kelun,https://www.youtube.com/watch?v=wVnE6T0E3yg&t=44360.5s,http://img.youtube.com/vi/wVnE6T0E3yg/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
52,wVnE6T0E3yg,一輪の花,High and Mighty Color,https://www.youtube.com/watch?v=wVnE6T0E3yg&t=44360.5s,http://img.youtube.com/vi/wVnE6T0E3yg/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
53,wVnE6T0E3yg,めざせポケモンマスター,松本梨香,https://www.youtube.com/watch?v=wVnE6T0E3yg&t=44360.5s,http://img.youtube.com/vi/wVnE6T0E3yg/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
54,wVnE6T0E3yg,翼をください,赤い鳥,https://www.youtube.com/watch?v=wVnE6T0E3yg&t=44360.5s,http://img.youtube.com/vi/wVnE6T0E3yg/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
55,wVnE6T0E3yg,栄光の架橋,ゆず,https://www.youtube.com/watch?v=wVnE6T0E3yg&t=44360.5s,http://img.youtube.com/vi/wVnE6T0E3yg/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
56,wVnE6T0E3yg,TSUNAMI,サザンオールスターズ,https://www.youtube.com/watch?v=wVnE6T0E3yg&t=44360.5s,http://img.youtube.com/vi/wVnE6T0E3yg/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
57,wVnE6T0E3yg,じょういふる,いきものがかり,https://www.youtube.com/watch?v=wVnE6T0E3yg&t=44360.5s,http://img.youtube.com/vi/wVnE6T0E3yg/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
58,wVnE6T0E3yg,上からマリコ,AKB48,https://www.youtube.com/watch?v=wVnE6T0E3yg&t=44360.5s,http://img.youtube.com/vi/wVnE6T0E3yg/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
59,wVnE6T0E3yg,ケロッ!とマーチ,ケロロ軍曹,https://www.youtube.com/watch?v=wVnE6T0E3yg&t=44360.5s,http://img.youtube.com/vi/wVnE6T0E3yg/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
60,wVnE6T0E3yg,空色デイズ,中川翔子,https://www.youtube.com/watch?v=wVnE6T0E3yg&t=44360.5s,http://img.youtube.com/vi/wVnE6T0E3yg/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
61,wVnE6T0E3yg,ようこそジャパリパークへ,どうぶつビスケッツ×PPP,https://www.youtube.com/watch?v=wVnE6T0E3yg&t=44360.5s,http://img.youtube.com/vi/wVnE6T0E3yg/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
62,wVnE6T0E3yg,モーニング娘。のひょっこりひょうたん島,モーニング娘。,https://www.youtube.com/watch?v=wVnE6T0E3yg&t=44360.5s,http://img.youtube.com/vi/wVnE6T0E3yg/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
63,wVnE6T0E3yg,ステキな日曜日~Gyu Gyu グッデイ!~,芦田愛菜,https://www.youtube.com/watch?v=wVnE6T0E3yg&t=44360.5s,http://img.youtube.com/vi/wVnE6T0E3yg/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
64,wVnE6T0E3yg,ねねねねねねねね！大爆走,桃鈴ねね,https://www.youtube.com/watch?v=wVnE6T0E3yg&t=44360.5s,http://img.youtube.com/vi/wVnE6T0E3yg/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
65,judZi1eMWas,ねねねねねねねね！大爆走,桃鈴ねね,https://www.youtube.com/watch?v=judZi1eMWas&t=44360.5s,http://img.youtube.com/vi/judZi1eMWas/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
66,judZi1eMWas,アナタMAGIC,MONOBRIGHT,https://www.youtube.com/watch?v=judZi1eMWas&t=44360.5s,http://img.youtube.com/vi/judZi1eMWas/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
67,judZi1eMWas,弱虫モンブラン,DECO*27 feat GUMI,https://www.youtube.com/watch?v=judZi1eMWas&t=44360.5s,http://img.youtube.com/vi/judZi1eMWas/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
68,judZi1eMWas,初恋サイダー,Buono!,https://www.youtube.com/watch?v=judZi1eMWas&t=44360.5s,http://img.youtube.com/vi/judZi1eMWas/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
69,judZi1eMWas,炎,LiSA,https://www.youtube.com/watch?v=judZi1eMWas&t=44360.5s,http://img.youtube.com/vi/judZi1eMWas/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
70,judZi1eMWas,Q＆Aリサイタル,戸松遥,https://www.youtube.com/watch?v=judZi1eMWas&t=44360.5s,http://img.youtube.com/vi/judZi1eMWas/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
71,judZi1eMWas,曇天,DOES,https://www.youtube.com/watch?v=judZi1eMWas&t=44360.5s,http://img.youtube.com/vi/judZi1eMWas/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
72,judZi1eMWas,ロキ,鏡音リン・みきとP,https://www.youtube.com/watch?v=judZi1eMWas&t=44360.5s,http://img.youtube.com/vi/judZi1eMWas/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
73,judZi1eMWas,シャルル,flower,https://www.youtube.com/watch?v=judZi1eMWas&t=44360.5s,http://img.youtube.com/vi/judZi1eMWas/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
74,judZi1eMWas,シャルル,flower,https://www.youtube.com/watch?v=judZi1eMWas&t=44360.5s,http://img.youtube.com/vi/judZi1eMWas/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
75,judZi1eMWas,ただ君に晴れ,ヨルシカ,https://www.youtube.com/watch?v=judZi1eMWas&t=44360.5s,http://img.youtube.com/vi/judZi1eMWas/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
76,judZi1eMWas,お願いマッスル,紗倉ひびき(CVファイルーズあい)・街雄鳴造(CV石川界人),https://www.youtube.com/watch?v=judZi1eMWas&t=44360.5s,http://img.youtube.com/vi/judZi1eMWas/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
77,judZi1eMWas,吉原ラメント,亜紗,https://www.youtube.com/watch?v=judZi1eMWas&t=44360.5s,http://img.youtube.com/vi/judZi1eMWas/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00
78,judZi1eMWas,ねねねねねねねね！大爆走,桃鈴ねね,https://www.youtube.com/watch?v=judZi1eMWas&t=44360.5s,http://img.youtube.com/vi/judZi1eMWas/hqdefault.jpg,2021-06-13 12:00:00,2021-06-13 12:00:00